gene,log2FoldChange,pval,padj,-log10(padj)
ENSG00000238152,0.8187638856163968,5.936706160456734e-11,1.8121042535600343e-10,9.741816820211419
ENSG00000065978,-0.6985954665350496,6.287872848306178e-11,1.917724098461328e-10,9.717213874295057
ENSG00000124102,-1.7034051783947843,6.30667063768854e-11,1.9218857417139097e-10,9.716272435199297
ENSG00000229054,0.758642121651488,6.456610509679533e-11,1.9659720164167068e-10,9.706422668193762
ENSG00000231160,-0.5871341760561813,6.539988958342479e-11,1.9897356292510152e-10,9.70120462328109
ENSG00000211849,-0.7667392328033641,6.743093037175628e-11,2.0498563185546125e-10,9.688276579064123
ENSG00000224546,-0.7481677953976047,6.774312247981973e-11,2.0576697626199314e-10,9.6866243243161
ENSG00000169884,-0.6315875405097442,6.872373349937709e-11,2.085756923943666e-10,9.680736306044254
ENSG00000166091,1.1925248104160195,6.907815371962592e-11,2.0948090518228022e-10,9.678855558148344
ENSG00000211888,-0.7714903619585094,6.931874096502041e-11,2.1003972688832341e-10,9.677698555091567
ENSG00000199082,-0.5748308646822261,6.975629088515515e-11,2.111939650987246e-10,9.675318495995086
ENSG00000116991,1.050902373954406,7.218071408662329e-11,2.1835690473893337e-10,9.660833070550034
ENSG00000125775,0.6574766058041143,7.269865072976686e-11,2.197455163873828e-10,9.658079977360373
ENSG00000145491,0.7638106618539791,7.324578619952305e-11,2.2122006682123157e-10,9.655175480828214
ENSG00000284642,0.883450045798282,7.475082835156797e-11,2.2558300141694864e-10,9.646693629285144
ENSG00000221869,0.8820971494828468,7.54287302316782e-11,2.2744475647870632e-10,9.643124070962463
ENSG00000213468,0.7212606535430189,7.786808035713585e-11,2.3461061367699247e-10,9.629652344492083
ENSG00000155970,-0.8389811022357884,7.794773298752055e-11,2.3466105249673256e-10,9.629558985771538
ENSG00000211810,-0.8536503576497602,7.905544880512422e-11,2.378038903573495e-10,9.623781044810224
ENSG00000248863,0.5968569994598454,8.026938610389627e-11,2.4126092680703714e-10,9.617513008162252
ENSG00000137200,0.6773913713419121,8.14113688374422e-11,2.4449630093692385e-10,9.611727707071381
ENSG00000213937,0.6917318235243841,8.324172105419093e-11,2.4979213156245546e-10,9.60242124599722
ENSG00000118508,0.5992902337964146,8.412887841998873e-11,2.5225137982842276e-10,9.59816644947071
ENSG00000065923,-0.5704787172886587,8.435782171167653e-11,2.5273467870245257e-10,9.597335162766298
ENSG00000251637,-0.9845678234678151,8.481120400008369e-11,2.538254921350731e-10,9.595464763101711
ENSG00000152558,0.7810164000302303,8.485801305427243e-11,2.538254921350731e-10,9.595464763101711
ENSG00000229989,0.6722889095303087,8.580815092680708e-11,2.5646186134374226e-10,9.590977210043308
ENSG00000260895,0.6657632254630188,8.665094745923985e-11,2.587734459751518e-10,9.58708029082457
ENSG00000139132,0.6597441215069916,8.691854556574793e-11,2.593649399681918e-10,9.586088730670703
ENSG00000276564,-0.6492018590260892,8.763843323716578e-11,2.613040415464655e-10,9.582853873059683
ENSG00000184221,-0.7685391880456673,9.119649703724048e-11,2.716956341444944e-10,9.56591734016948
ENSG00000170425,0.6869249358737126,9.151721750465996e-11,2.724335365461944e-10,9.564739431853017
ENSG00000259436,-0.5804066010744311,9.1756239031409e-11,2.7292725006950205e-10,9.563953100592494
ENSG00000151012,0.8242377473809279,9.244781958843893e-11,2.747652327210177e-10,9.561038221367435
ENSG00000183918,-0.7058539242087574,9.346190735047754e-11,2.7755805288000096e-10,9.556646167825498
ENSG00000259363,-0.5858955710369296,9.378941654081272e-11,2.7830908806462326e-10,9.555472611733244
ENSG00000173114,-1.4792790698961527,9.394408230791977e-11,2.7854644436290996e-10,9.55510238092532
ENSG00000160781,0.8031408934310951,9.577207877850466e-11,2.837409482476746e-10,9.547077984208654
ENSG00000182983,-0.9330368931300641,9.685000534235183e-11,2.8670676184680343e-10,9.542562064297588
ENSG00000211843,-0.7932652450131483,1.0104680549466904e-10,2.988934056265785e-10,9.524483666531749
ENSG00000146674,-0.9944141254151165,1.0487217538602353e-10,3.0996292725029144e-10,9.508690246338078
ENSG00000133401,-0.7499232932158468,1.0667553149330185e-10,3.1504333528900703e-10,9.50162970340903
ENSG00000181963,0.8077598084929594,1.1159753396164599e-10,3.293186722127686e-10,9.482383644298505
ENSG00000233806,-0.5580573292100997,1.1258080159505303e-10,3.319576205134765e-10,9.478917357115074
ENSG00000179262,-0.5916419379570014,1.164164623744134e-10,3.429963701868578e-10,9.464710475922708
ENSG00000156299,-0.56903718888972,1.1661926805372297e-10,3.433227070563431e-10,9.464297471776272
ENSG00000282133,-0.7626633403766382,1.1868585628275553e-10,3.491311072040048e-10,9.4570114542933
ENSG00000238113,0.6882266499246473,1.2005123610374825e-10,3.5286927554529625e-10,9.45238615417058
